function_id,scenario,dataset,arrival_time,inter_arrival,dependency_load_time,function_duration,completion_time,latency,chosen_state,effective_load_time,start_time,completion_time_scheduled,latency_scheduled
0,S2,A_heavy,0.0039105674164738,0.0039105674164738,1.3925585256038588,2.0583909322239045,3.454860025244237,3.4509494578277637,Cold,1.3925585256038588,0.0039105674164738,3.454860025244237,3.4509494578277633
1,S2,A_heavy,0.0289949126741198,0.025084345257646,1.3704681986079996,2.5719511244599698,3.971414235742089,3.9424193230679694,Cold,1.3704681986079996,0.0289949126741198,3.971414235742089,3.9424193230679694
2,S2,A_heavy,0.0399677934536652,0.0109728807795454,2.3593818707815557,2.47235404553835,4.871703709773571,4.831735916319905,Cold,2.3593818707815557,0.0399677934536652,4.871703709773572,4.831735916319906
3,S2,A_heavy,0.0475756480684648,0.0076078546147996,1.374319299774259,1.1385797903263022,2.560474738169026,2.512899090100561,Cold,1.374319299774259,0.0475756480684648,2.560474738169026,2.5128990901005612
4,S2,A_heavy,0.048989188655651,0.0014135405871862,1.4079245891929464,1.1283488334312426,2.5852626112798403,2.536273422624189,Cold,1.4079245891929464,0.048989188655651,2.5852626112798403,2.5362734226241894
5,S2,A_heavy,0.0504024910882727,0.0014133024326217,2.1390973936269457,1.3899836090388094,3.579483493754028,3.529081002665755,Cold,2.1390973936269457,0.0504024910882727,3.5794834937540276,3.529081002665755
6,S2,A_heavy,0.0509011474933451,0.0004986564050723,1.67460976367581,1.594364397950282,3.3198753091194373,3.268974161626092,Cold,1.67460976367581,0.0509011474933451,3.3198753091194373,3.268974161626092
7,S2,A_heavy,0.0676614046973446,0.0167602572039994,2.165065835432772,1.6986022790986617,3.9313295192287785,3.8636681145314338,Cold,2.165065835432772,0.0676614046973446,3.9313295192287785,3.8636681145314338
8,S2,A_heavy,0.0753204226442385,0.0076590179468938,1.098049236346578,2.29533387703336,3.4687035360241767,3.3933831133799384,Cold,1.098049236346578,0.0753204226442385,3.4687035360241767,3.3933831133799384
9,S2,A_heavy,0.08558083982511,0.0102604171808715,1.7313567905100764,0.924696950764838,2.7416345811000244,2.6560537412749143,Cold,1.7313567905100764,0.08558083982511,2.7416345811000244,2.6560537412749143
