function_id,scenario,dataset,arrival_time,inter_arrival,dependency_load_time,function_duration,completion_time,latency
0,S5,A_heavy,0.045021339691239004,0.045021339691239004,1.5666730398749447,1.5158024808389907,3.1274968604051745,3.0824755207139356
1,S5,A_heavy,0.04778893394891327,0.0027675942576742686,1.5354197114994628,2.664967790709966,4.248176436158342,4.200387502209429
2,S5,A_heavy,0.08191600522388276,0.03412707127496949,1.649082557799976,2.551211782360302,4.282210345384161,4.200294340160278
3,S5,A_heavy,0.09309275436478676,0.011176749140903998,1.108789315402746,1.7333864072247038,2.9352684769922366,2.84217572262745
4,S5,A_heavy,0.10422302601613513,0.01113027165134837,1.1058080716925671,0.8160214717330151,2.0260525694417173,1.921829543425582
5,S5,A_heavy,0.12771446536665215,0.02349143935051703,1.9099174418952098,2.141187248738473,4.178819156000335,4.051104690633683
6,S5,A_heavy,0.1402272549161914,0.012512789549539239,1.947425511307833,2.2761875822145465,4.363840348438571,4.2236130935223795
7,S5,A_heavy,0.15337880812740554,0.013151553211214138,1.8884697272905502,1.0876014305416617,3.1294499659596173,2.976071157832212
8,S5,A_heavy,0.17120757671753448,0.01782876859012894,2.162363014285334,1.7708663415325356,4.104436932535404,3.9332293558178697
9,S5,A_heavy,0.20216719691947468,0.030959620201940215,1.1290703230184191,2.946580579741889,4.2778180996797825,4.075650902760308
10,S5,A_heavy,0.28297016584025203,0.08080296892077733,2.0072913869048286,0.832871552344362,3.1231331050894426,2.8401629392491907
11,S5,A_heavy,0.2982188765598993,0.01524871071964728,1.5283441722976656,2.2674254754262213,4.093988524283786,3.7957696477238865
12,S5,A_heavy,0.3121690576647409,0.01395018110484158,1.7693624947453142,1.6686483062307507,3.7501798586408057,3.438010800976065
13,S5,A_heavy,0.3151798878653154,0.0030108302005745335,2.0836401269101863,0.826111568157353,3.2249315829328546,2.909751695067539
14,S5,A_heavy,0.3213241684581167,0.006144280592801229,1.0403417457508142,1.2307277089123834,2.592393623121314,2.2710694546631975
15,S5,A_heavy,0.4002640239708697,0.07893985551275304,2.3429727116062673,1.0947413775247306,3.8379781131018675,3.437714089130998
16,S5,A_heavy,0.4720359241795682,0.07177190020869849,1.8104511115445918,1.737469005902457,4.019956041626617,3.547920117447049
17,S5,A_heavy,0.5254254896657797,0.0533895654862115,1.3366171734075205,2.4153924584897624,4.277435121563062,3.7520096318972826
18,S5,A_heavy,0.5514159601586577,0.025990470492877955,2.3693249555440756,1.4944378341186768,4.41517874982141,3.8637627896627524
19,S5,A_heavy,0.5574303508101117,0.006014390651454023,2.4081800641551254,2.722533518155746,5.688143933120983,5.130713582310872
20,S5,A_heavy,0.5827525953071413,0.025322244497029602,2.47480904240657,2.4310164237776437,5.488578061491355,4.905825466184213
21,S5,A_heavy,0.5864983616050231,0.0037457662978818123,1.8259516301299372,2.4195197990826696,4.83196979081763,4.245471429212607
22,S5,A_heavy,0.6018430902227107,0.01534472861768749,1.2548589116015003,1.2822017083473902,3.138903710171601,2.5370606199488903
23,S5,A_heavy,0.6536027934483911,0.05175970322568044,2.346534516544436,1.0515696224618205,4.051706932454648,3.3981041390062567
24,S5,A_heavy,0.6610781209799955,0.0074753275316044145,1.1419631242870545,2.146670007559122,3.949711252826172,3.2886331318461766
25,S5,A_heavy,0.6884076300204955,0.02732950904050002,1.8584394555146055,2.780060096172252,5.3269071817073534,4.6384995516868575
26,S5,A_heavy,0.7380426316402311,0.04963500161973555,1.2604548460250626,2.214001037717437,4.21249851538273,3.4744558837424995
27,S5,A_heavy,0.742071747316019,0.004029115675787952,1.347510867462822,1.5990084246119078,3.688591039390749,2.94651929207473
28,S5,A_heavy,0.7627644367715325,0.020692689455513544,1.569470393001669,0.96618448327243,3.298419313045631,2.5356548762740987
29,S5,A_heavy,0.7670981431250965,0.004333706353564035,1.1940264622259567,1.7296919135355955,3.6908165188866486,2.923718375761552
30,S5,A_heavy,0.7718437315830878,0.004745588457991298,2.4573146644012676,2.8648893992629327,6.094047795247288,5.3222040636642
31,S5,A_heavy,0.7745897438941061,0.002746012311018237,2.0825413211887813,2.88657876635762,5.7437098314405075,4.969120087546401
32,S5,A_heavy,0.7802603014159476,0.005670557521841589,1.3425179596161738,1.1379696817994007,3.2607479428315225,2.480487641415575
33,S5,A_heavy,0.795443223368188,0.015182921952240342,1.9318955975050454,1.5016558101456323,4.228994631018866,3.4335514076506777
34,S5,A_heavy,0.8350100700523769,0.03956684668418896,2.3399893975094335,0.9723641733457937,4.147363640907604,3.312353570855227
35,S5,A_heavy,0.9522855741233821,0.11727550407100518,2.4029772493453008,2.568135504789112,5.923398328257795,4.9711127541344124
