function_id,scenario,dataset,arrival_time,inter_arrival,dependency_load_time,function_duration,completion_time,latency
0,S5,B_light,0.045021339691239004,0.045021339691239004,0.037778202658329645,0.825364764017723,0.9081643063672916,0.8631429666760526
1,S5,B_light,0.04778893394891327,0.0027675942576742686,0.035694647433297526,1.3477126321408934,1.4311962135231042,1.383407279574191
2,S5,B_light,0.08191600522388276,0.03412707127496949,0.043272170519998404,1.2960053556183193,1.4211935313622004,1.3392775261383176
3,S5,B_light,0.09309275436478676,0.011176749140903998,0.007252621026849738,0.9242665487385017,1.0246119241301381,0.9315191697653513
4,S5,B_light,0.10422302601613513,0.01113027165134837,0.0070538714461711345,0.5072824871513705,0.6185593846136768,0.5143363585975417
5,S5,B_light,0.12771446536665215,0.02349143935051703,0.06066116279301399,1.1096305676083968,1.298006195768063,1.1702917304014109
6,S5,B_light,0.1402272549161914,0.012512789549539239,0.06316170075385553,1.1709943555520665,1.3743833112221135,1.2341560563059222
7,S5,B_light,0.15337880812740554,0.013151553211214138,0.05923131515270335,0.6307279229734826,0.8433380462535914,0.6899592381261859
8,S5,B_light,0.17120757671753448,0.01782876859012894,0.07749086761902227,0.9413028825147889,1.1900013268513456,1.0187937501338111
9,S5,B_light,0.20216719691947468,0.030959620201940215,0.00860468820122794,1.4757184453372223,1.6864903304579248,1.4843231335384501
10,S5,B_light,0.28297016584025203,0.08080296892077733,0.06715275912698858,0.5149416147019827,0.8650645396692234,0.5820943738289713
11,S5,B_light,0.2982188765598993,0.01524871071964728,0.035222944819844386,1.1670115797391913,1.500453401118935,1.2022345245590356
12,S5,B_light,0.3121690576647409,0.01395018110484158,0.051290832983020944,0.8948401391957957,1.2583000298435576,0.9461309721788167
13,S5,B_light,0.3151798878653154,0.0030108302005745335,0.07224267512734575,0.5118688946169786,0.8992914576096398,0.5841115697443244
14,S5,B_light,0.3213241684581167,0.006144280592801229,0.0026894497167209487,0.6957853222329015,1.019798940407739,0.6984747719496223
15,S5,B_light,0.4002640239708697,0.07893985551275304,0.08953151410708449,0.633973353420332,1.1237688914982862,0.7235048675274165
16,S5,B_light,0.4720359241795682,0.07177190020869849,0.054030074102972794,0.9261222754102076,1.4521882736927485,0.9801523495131803
17,S5,B_light,0.5254254896657797,0.0533895654862115,0.022441144893834697,1.2342692993135282,1.7821359338731426,1.2567104442073629
18,S5,B_light,0.5514159601586577,0.025990470492877955,0.09128833036960506,0.8156535609630349,1.4583578514912976,0.9069418913326399
19,S5,B_light,0.5574303508101117,0.006014390651454023,0.09387867094367502,1.3738788718889756,2.0251878936427623,1.4677575428326506
20,S5,B_light,0.5827525953071413,0.025322244497029602,0.09832060282710466,1.2413711017171107,1.9224442998513567,1.3396917045442154
21,S5,B_light,0.5864983616050231,0.0037457662978818123,0.05506344200866248,1.2361453632193953,1.877707166833081,1.2912088052280577
